structure,league,ranks,positions,cbet_made,cbet_opportunities,overall_folds,overall_faced_xr,matched_folds,matched_faced_xr,opportunity_players,overall_faced_players,matched_faced_players
a_high_dry,league1,R1-5,CO/BTN,4192,4305,205,472,18,52,184,158,41
a_high_dry,league2,R6-10,CO/BTN,11516,11942,571,1160,64,154,539,403,121
a_high_dry,league3,R11-17,CO/BTN,15775,16998,790,1339,92,160,1163,637,142
k_high_dry,league1,R1-5,CO/BTN,4970,5132,362,747,46,93,183,163,69
k_high_dry,league2,R6-10,CO/BTN,13238,13728,883,1752,110,243,543,469,178
k_high_dry,league3,R11-17,CO/BTN,18366,19891,1203,2015,162,269,1173,758,211
broadway,league1,R1-5,CO/BTN,16398,17387,699,1384,69,144,185,181,90
broadway,league2,R6-10,CO/BTN,44359,47028,1825,3560,192,414,553,513,250
broadway,league3,R11-17,CO/BTN,61540,66575,2639,4666,337,576,1232,972,365
low_connected,league1,R1-5,CO/BTN,2572,4309,225,518,14,38,185,158,33
low_connected,league2,R6-10,CO/BTN,7666,11897,666,1661,43,146,539,456,118
low_connected,league3,R11-17,CO/BTN,13408,17227,1317,2779,159,377,1157,832,257
paired,league1,R1-5,CO/BTN,26350,29276,2146,5142,141,394,185,185,117
paired,league2,R6-10,CO/BTN,71466,78304,5748,11974,583,1338,553,539,371
paired,league3,R11-17,CO/BTN,98074,111411,7695,13534,954,1711,1244,1111,604
two_tone,league1,R1-5,CO/BTN,69230,78912,4719,10128,369,910,185,185,163
two_tone,league2,R6-10,CO/BTN,189084,211393,13171,27115,1318,2920,554,546,480
two_tone,league3,R11-17,CO/BTN,269739,298939,19101,35564,2182,4183,1270,1193,833
monotone,league1,R1-5,CO/BTN,7628,8777,649,1405,54,121,185,181,70
monotone,league2,R6-10,CO/BTN,20486,23315,1686,3293,141,338,550,502,227
monotone,league3,R11-17,CO/BTN,29072,33121,2235,3940,241,441,1209,921,295
other,league1,R1-5,CO/BTN,19218,21154,1428,3213,130,333,185,183,126
other,league2,R6-10,CO/BTN,51841,56693,4061,8472,477,1082,552,530,360
other,league3,R11-17,CO/BTN,72254,79917,5828,10550,749,1444,1231,1081,608
